cik_str,Scandal Year,Ticker,Company Name,Anomaly Ticker,Detail
100493,2019,TSN,"TYSON FOODS, INC.",TSN,Labor Practices Investigation (Child Labor and Fair Labor Standards Violations)
91419,2017,SJM,J M SMUCKER Co,SJM,J.M. Misleading Labeling (False Advertising on Product Ingredients)
1637459,2019,KHC,Kraft Heinz Co,KHC,Accounting Scandal (Improper Expense Management and Financial Restatements)
1103982,2017,MDLZ,"Mondelez International, Inc.",MDLZ,Price-Fixing Investigation (EU Antitrust Probe on Trade Restrictions)
60086,2015,L,LOEWS CORP,L,Environmental Violations (Non-Compliance and Hazard Management)
1041061,2013,YUM,YUM BRANDS INC,YUM,Food Safety Scandal (Antibiotics and Hormones in Chicken Supply)
1286681,2018,DPZ,DOMINOS PIZZA INC,DPZ,Wage Theft (Underpayment and Improper Expense Reimbursements)
901491,2017,PZZA,PAPA JOHNS INTERNATIONAL INC,PZZA,Racial Slur Controversy (Resignation of Founder and Reputation Impact)
703351,2015,EAT,"BRINKER INTERNATIONAL, INC",EAT,Labor Practices Investigation
887596,2019,CAKE,CHEESECAKE FACTORY INC,CAKE,Wage Theft (Underpayment and Overtime Discrepancies)
1013488,2020,BJRI,BJs RESTAURANTS INC,BJRI,Wage Theft (Underpayment and Overtime Discrepancies)
1171759,2018,RRGB,RED ROBIN GOURMET BURGERS INC,RRGB,Wage Theft (Underpayment and Overtime Discrepancies)
1525769,2019,PLAY,"Dave & Buster's Entertainment, Inc.",PLAY,Wage Theft (Underpayment and Overtime Discrepancies)
