end_date,year,ticker,form,Assets,EarningsPerShareBasic,EarningsPerShareDiluted,LiabilitiesAndStockholdersEquity,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
2009-05-04,2009,YUM,10-Q,,,,,,,,0
2009-05-31,2009,BAC,10-K,,,,,,,,0
2009-05-31,2009,BAC,8-K,,,,,,,,0
2009-05-31,2009,ORCL,10-K,-0.35846800851795163,-0.22001571089605768,-0.21958139335824953,-0.37001884005638547,0.11219584547277946,-0.36199900870829643,-0.2837061162635761,0
2009-05-31,2009,ORCL,10-Q,-0.35846800851795163,,,-0.37001884005638547,,-0.36199900870829643,-0.2837061162635761,0
2009-05-31,2009,ORCL,10-Q/A,,,,,,,,0
2009-06-13,2009,PEP,10-Q,,0.05929350066690839,0.06808768652939211,,-0.006730371475426037,,,0
2009-06-13,2009,YUM,10-K,,-0.2918380795836776,-0.29519726578585825,,-0.410807010402553,,,0
2009-06-13,2009,YUM,10-Q,,-0.11467623682088189,-0.11766434791234222,,-0.3601027886103967,,,0
2009-06-24,2009,EAT,10-K,,-0.2710893952961429,-0.27218373939484686,,-0.43259075086440624,,-0.581167264592174,0
2009-06-24,2009,EAT,10-Q,,,,,,,,0
2009-06-27,2009,AAPL,10-K,,-0.06839071033330472,-0.06834964850303224,,-0.26239254162512804,,,0
2009-06-27,2009,AAPL,10-Q,-0.35762421354629936,1.8963500864324736,1.9239642076330916,-0.36906146764675124,0.8053157351720411,-0.2541256533822404,-0.27399481819873517,0
2009-06-27,2009,AMD,10-Q,,-0.6573341335717874,-0.6683451579829705,,,,,1
2009-06-27,2009,INTC,10-Q,-0.35655082242904557,-0.4003696589338586,-0.40368960448634017,-0.36784359473339057,-0.4565478630749398,-0.12204208478698432,-0.11385575650043701,0
2009-06-27,2009,TSN,10-Q,,,-0.3806760780953289,,-0.43630510274333034,,,0
2009-06-28,2009,PZZA,10-Q,-0.41325899120722015,-0.1290407105584059,-0.12588346448056056,-0.4321848601035752,-0.435799714981782,-0.5734233037768459,-0.5869618675153586,0
2009-06-28,2009,QCOM,10-K,,-0.32375913233373077,-0.32642990874508787,,,,,0
2009-06-28,2009,QCOM,10-Q,-0.38376204480216325,-0.24714860573360298,-0.24917021300383557,-0.39871753260651244,,-0.3832347728416678,,0
2009-06-28,2009,SBUX,10-Q,-0.40751405743030705,-0.22639992144606835,-0.2278005099264679,-0.4256666403014086,-0.4021162483947996,-0.5287628515308699,-0.554746255951881,0
2009-06-30,2009,AMZN,10-K,,-0.3429117639837628,-0.3461557885088119,,-0.4264756854669238,,,0
2009-06-30,2009,AMZN,10-Q,-0.4047846604080523,-0.22480386880856568,-0.2261566866128242,-0.4225698579172616,-0.3309064996705754,-0.583820806383283,-0.5494159933910663,0
2009-06-30,2009,BAC,10-Q,2.213682459641143,-0.22320781617106303,-0.2212252166718932,2.5483511128023926,0.6005524384728573,0.8515041308519956,2.5160440784650415,0
2009-06-30,2009,C,10-K,,-0.3173749217837202,-0.31821079217686954,,-0.023858860986787876,,,0
2009-06-30,2009,C,10-Q,,-0.2678972900211376,-0.2672522694539159,,0.547609834528648,,,0
2009-06-30,2009,CAKE,10-Q,,-0.2790696584836562,-0.28040285596306525,,,,,0
2009-06-30,2009,EBAY,10-K,,-0.3556801850837841,-0.35766255170431754,,-0.4084380215715567,,,0
2009-06-30,2009,EBAY,10-Q,-0.3944221950079043,-0.14659728957093518,-0.1423216976169972,-0.4108125723168688,-0.3418262017505387,-0.4564517396683155,-0.4439599124457782,0
2009-06-30,2009,GE,10-K,,-0.3556801850837841,-0.35766255170431754,,-0.17850188113680443,,,1
2009-06-30,2009,GE,10-Q,0.49319616706884384,-0.15617360539595118,-0.15218463749885922,0.5962819929340013,1.1518756946198165,1.643897380636775,0.7753973414871034,1
2009-06-30,2009,JPM,10-K,,,,,,,,1
2009-06-30,2009,JPM,10-Q,1.9482460060724305,-0.242360447821095,-0.2409510964356172,2.2471860837429762,0.2976896012037775,0.43949785812856473,1.294391988819524,1
2009-06-30,2009,JPM,8-K,,,,,,,,1
2009-06-30,2009,L,10-K,,,,,,,,0
